Region,Sub-region,Pathology,Tissue,Program,treatmentPlanText
Foot,Dorsal Foot,Metatarsal stress fracture,Periosteum,majorInjury,"Protect first. Rule out high risk stress fx via imaging, rule out RED-S, minorInjuryR major (0 pain), Multi-directional strength exercises during rehab. Remember address biomechanical factors and footwear (supershoes, Vibrams etc)"
Foot,Dorsal Foot,Great sesamoid stress fracture,Periosteum,majorInjury,"Presents as deep plantar pain, and pain on dorsiflexion. Protect first. Rule out high risk stress fx  via imaging, rule out RED-S, 0/10 pain, Multi-directional strength exercises during rehab. Remember address biomechanical factors and footwear (supershoes, Vibrams etc)"
Foot,Dorsal Foot,Tarsal Navicular stress fracture,Periosteum,majorInjury,"Presents as deep ankle pain, difficulty WB. Obtain throughout running hx. Protect first. Rule out high risk stress fx via imaging, rule out RED-S, 0/10 pain, Multi-directional strength exercises during rehab. Remember address biomechanical factors and footwear (supershoes, Vibrams etc)"
Foot,Posterior Heel Pain,Calcaneal Stress Fracture,Periosteum,majorInjury,Can they heel walk/jump? Low-risk fracture managed with activity modification and protected weight-bearing 6-8 weeks for return to run. Address biomechanics and impact moderation behaviors.
Leg,Anterolateral Leg,Ankle fracture,Periosteum,majorInjury,"6-10 wks NWB, imaging + obtain WB clearance from MD, stregnthen other muscles ASAP (prox hip, knee, UL) , start with minorInjuryR major (0 pain)"
Leg,Anterolateral Leg,MTSS ,Periosteum,minorInjury,"Treadmill ax and impact moderation behaviors with cadence, soft running and avoiding overstriding. Run-walk intervals takes precedence over exercises. 0/10 pain. Runners will often push themselves through this so presentation is likely more severe and calcitrant. Explain that rolling, Graston do not help the actual periosteum. This may be due to a high foot-strike angle (similar to MTSS), and over striding. Practice minimizing stride length, running softly and having a smaller stack and drop on shoes, running drills and running frequency before increasing distance or speed. Identify the aggravating factors, load the muscle in isolation and expose muscle back to aggravating factors."
Leg,Anterolateral Leg,Stress Fracture ,Periosteum,majorInjury,"Detail run hx, fulcrum, palpation, hop. High risk stress fracture area urgent referral as there may be a completed tibial fracture if there is continued running, rule out RED-S, minorInjuryR major (0 pain), Multi-directional strength exercises in rehab, consult  sports RD.  Explain complications as clients often continue to run and compete despite pain."
Leg,Posteromedial Leg,Stress Fracture,Periosteum,minorInjury,"Low risk stress fracture area, rule out RED-S, minorInjuryR major (0 pain), Multi-directional strength exercises in rehab, consult  sports RD"
Knee,Anterior Knee Pain,"Fracture of the patella, femur, tibia, fibula",Periosteum,majorInjury,"Ottawa Knee Rules, 6-10 wks NWB, imaging + obtain WB clearance from MD, stregnthen other muscles ASAP (prox hip, knee, UL) , start with minorInjuryR major (0 pain)"
Knee,Lateral Knee Pain,"Patella, femur, tibia, fibula",Periosteum,majorInjury,"Remember the patella and anterior tibial are high-risk areas stress fracture requiring aggressive evaluation; nonweight-bearing immobilization. Please refer out as it may require surgical intervention. 8-12 weeks rehabilitation, strengthen adjacent limbs while NWB."
Hip & Groin,Anterior Hip,Femoral Neck Stress Fracture ,Periosteum,majorInjury,"Hedge from runing hx and maybe hop test or fulcrum. Refer immediately (high risk of avascular necrosis and displacement) Need imaging (cannot identify between high risk tension and lower risk compression side) & consult sports MD to clear, rule out RED-S, Multi-directional strength exercises during rehab. Explain complications as clients often continue to run and compete despite pain."
Hip & Groin,Anterior Hip,"Femur, Ilium (ASIS, AIIS)",Periosteum,majorInjury,"Caution for AIIS apophyseal avulsion fractures in adolescents, ASIS more likely in adults. Caution for femoral head stress fracture"
Hip & Groin,Thigh,Femoral Diaphysis Stress Fracture,Periosteum,majorInjury,"Rule out high risk stress fx, rule out RED-S, minorInjuryR major (0 pain), Multi-directional strength exercises"
Hip & Groin,Lateral Hip,Greater Trochanter Pain Syndrome,Mixed,minorInjury,"May initially present like a glute medius tendinopathy but may be more of a trochanteric bursa if compressing on that side via side lying or crossing legs aggravate symptoms.  Focus on minimizing provoking positions, abductor and external hip rotation exercises, promote cycling as cross training before gentle return to running. If no improvement MDs may suggest cortisone, explain risks and promote rehab over injections."
Hip & Groin,Pubalgia,Stress Fracture of Pubic Branch,Periosteum,majorInjury,"Pain on point palpation, maybe antalgic gait, general pubic pain. Considered low risk, may refer it no improvement in 8 weeks. Strengthen auxillary hip muscles."
Hip & Groin,Posterior Hip,Sacral Stress Fractures,Periosteum,majorInjury,"Sacral stress fx are considered low risk however please refer immediately if there are neurological symptoms or severe pain. Rule out high risk stress fx, rule out RED-S, minorInjuryR major (0 pain), Multi-directional strength exercises"
Pediatric,Pediatric,Legg-Calve-Perthes,Periosteum,majorInjury,"Typically presents as hip pain in child 4-8 years, limp, restricted abduction/internal rotation. Urgent referral to surgical consultation for containment. 0 pain if planning to start running and having impact sports again. Strengthen peripheral hip and lumbo-pelvic muscles."
Pediatric,Pediatric,Slipped Capital Femoral Epiphysis,Cartilage,majorInjury,"Urgent referral if you are diagnosis initial complaint. Typically obsese adolescent with antalgic gait and restricted intneral rotation. Sports-Med Consult for Plan, Repeat Imaging, 0 pain, Exercises."
Pediatric,Pediatric,Osgood-Schlatter,Tendon,minorInjury,"This is a tibial tubercle apophysitis. Typically pain with kneeling, deep squats. Protect then adapt 0 pain, focus on capacity instead of load as it is often difficult to maintain a healthy load management and social schedule for adolescents in school.  Referral only needed if avulsion suspected or refractory"
Foot,Plantar Heel,Fat Pad Syndrome,Fat Pad,minorInjury,"Important to differentiate from calcaneal stress fracture, as fat tissue is highly innervated. Offloading with heel cups or taping to desensitize may help (unclear of management)."
Foot,Posterior Heel Pain,Retrocalcaneal Bursitis,Bursa,minorInjury,"Palpation helps differentiate between tendinopathy, usually identify source of compression as it may often be a shoe or a terrain issue with too much dorisflexion."
Knee,Anterior Knee Pain,Fat Pad Syndrome,Bursa,minorInjury,"Infrapatellar fat pad which is very sensitive to pain in quick extension ranges, may be preceded by trauma. Focus on quadriceps strengthening to assist with desensitization, biomechanics of patella tracking (?). Progress slowly, avoid compression exercises (open chain extension), Spanish squat and leg press (closed chain) may be less irritating."
Knee,Anterior Knee Pain,Bursa of the pre-patellar and supra-patellar spaces,Bursa,minorInjury,"Avoid hopping and impact, and deep flexion squats. Try spanish squats, straight leg raise, decline squats. Promote cycling, progress with running drills before running"
Knee,Lateral Knee Pain,Lateral fat pad/bursa,Bursa,minorInjury,"May be a directional issue on the camber for track athletes, hip adduction during running. Compression of bursae from both passive and active structures (vastus lateralis). Introduce trails on flat, before progressing to uphill and downhill. Speed can precede volume in this injury"
